Epoch,Accuracy
1,0.25
2,0.3888888888888889
3,0.5555555555555556
4,0.4444444444444444
5,0.5277777777777778
6,0.5
7,0.5138888888888888
8,0.5833333333333334
9,0.4861111111111111
10,0.6111111111111112
11,0.625
12,0.6111111111111112
13,0.5694444444444444
14,0.4861111111111111
15,0.5972222222222222
16,0.5694444444444444
17,0.5972222222222222
18,0.5
19,0.6111111111111112
20,0.5416666666666666
21,0.5277777777777778
22,0.5833333333333334
23,0.5416666666666666
24,0.4861111111111111
25,0.5277777777777778
26,0.625
27,0.6111111111111112
28,0.5555555555555556
29,0.5972222222222222
30,0.6111111111111112
31,0.5833333333333334
32,0.5833333333333334
33,0.6111111111111112
34,0.625
35,0.5833333333333334
36,0.5972222222222222
37,0.6805555555555556
38,0.6527777777777778
39,0.6666666666666666
40,0.6666666666666666
41,0.5972222222222222
42,0.6805555555555556
43,0.6805555555555556
44,0.6805555555555556
45,0.6805555555555556
46,0.6111111111111112
47,0.5833333333333334
48,0.5833333333333334
49,0.5555555555555556
50,0.6527777777777778
51,0.5972222222222222
52,0.6944444444444444
53,0.625
54,0.6944444444444444
55,0.6111111111111112
56,0.6527777777777778
57,0.6805555555555556
58,0.7083333333333334
59,0.7222222222222222
60,0.7777777777777778
61,0.6944444444444444
62,0.6944444444444444
63,0.7222222222222222
64,0.75
65,0.75
66,0.6527777777777778
67,0.6805555555555556
68,0.7222222222222222
69,0.7361111111111112
70,0.7361111111111112
71,0.7222222222222222
72,0.7777777777777778
73,0.7777777777777778
74,0.8333333333333334
75,0.6944444444444444
76,0.8194444444444444
77,0.8333333333333334
78,0.8333333333333334
79,0.7777777777777778
80,0.7777777777777778
81,0.7777777777777778
82,0.7222222222222222
83,0.7916666666666666
84,0.9305555555555556
85,0.8055555555555556
86,0.8194444444444444
87,0.7083333333333334
88,0.7777777777777778
89,0.7916666666666666
90,0.7361111111111112
91,0.8333333333333334
92,0.875
93,0.8888888888888888
94,0.8888888888888888
95,0.7916666666666666
96,0.8333333333333334
97,0.8333333333333334
98,0.8055555555555556
99,0.8472222222222222
100,0.8611111111111112
101,0.8888888888888888
102,0.9444444444444444
103,0.8472222222222222
104,0.8888888888888888
105,0.9444444444444444
106,0.875
107,0.875
108,0.9444444444444444
109,0.9166666666666666
110,0.8611111111111112
111,0.9166666666666666
112,0.875
113,0.8888888888888888
114,0.9583333333333334
115,0.9305555555555556
116,0.9305555555555556
117,0.8888888888888888
118,0.9027777777777778
119,0.8472222222222222
120,0.9305555555555556
121,0.9444444444444444
122,0.9583333333333334
123,0.9444444444444444
124,0.9583333333333334
125,0.9722222222222222
126,0.9444444444444444
127,0.8611111111111112
128,0.9305555555555556
129,0.9583333333333334
130,0.9444444444444444
131,0.9305555555555556
132,0.9583333333333334
133,0.9583333333333334
134,0.8888888888888888
135,0.8888888888888888
136,0.9722222222222222
137,0.9583333333333334
138,0.9861111111111112
139,0.9444444444444444
140,0.9583333333333334
141,0.9444444444444444
142,0.9166666666666666
143,0.9722222222222222
144,0.9722222222222222
145,0.9583333333333334
146,0.9583333333333334
147,0.9583333333333334
148,0.9305555555555556
149,0.9583333333333334
150,0.9861111111111112
151,0.9583333333333334
152,0.9722222222222222
153,0.9722222222222222
154,0.9583333333333334
155,0.9861111111111112
156,0.9722222222222222
157,0.9861111111111112
158,0.9861111111111112
159,0.9861111111111112
160,1.0
161,0.9444444444444444
162,0.9722222222222222
163,0.9861111111111112
164,0.9722222222222222
165,1.0
166,1.0
167,0.9722222222222222
168,0.9722222222222222
169,0.9722222222222222
170,0.9861111111111112
171,0.9583333333333334
172,1.0
173,0.9722222222222222
174,0.9861111111111112
175,0.9444444444444444
176,1.0
177,0.9722222222222222
178,0.9166666666666666
179,0.9583333333333334
180,0.9861111111111112
181,1.0
182,1.0
183,0.9166666666666666
184,0.9861111111111112
185,0.9722222222222222
186,0.9861111111111112
187,0.9722222222222222
188,0.9722222222222222
189,0.9861111111111112
190,0.9861111111111112
191,0.9722222222222222
192,0.9722222222222222
193,0.9583333333333334
194,0.9305555555555556
195,0.9583333333333334
196,0.9861111111111112
197,0.9583333333333334
198,0.9861111111111112
199,0.9722222222222222
200,0.9722222222222222
